,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
290442,2022-04-09 06:00:00,401546,80,80,148.0,69.2,6,9
291234,2022-04-09 06:00:00,402814,80,0,121.0,69.3,6,9
291235,2022-04-09 06:00:00,402815,80,0,121.0,69.3,6,9
291236,2022-04-09 06:00:00,402816,80,0,121.0,69.3,6,9
291237,2022-04-09 06:00:00,402817,80,20,155.0,66.7,6,9
291793,2022-04-09 06:00:00,404400,80,0,147.0,66.5,6,9
291892,2022-04-09 06:00:00,404885,80,100,125.0,71.4,6,9
291893,2022-04-09 06:00:00,404886,80,0,99.0,67.5,6,9
291896,2022-04-09 06:00:00,404889,80,0,121.0,69.3,6,9
291898,2022-04-09 06:00:00,404891,80,100,116.0,71.4,6,9
291899,2022-04-09 06:00:00,404892,80,100,144.0,70.8,6,9
291901,2022-04-09 06:00:00,404894,80,100,217.0,62.4,6,9
291903,2022-04-09 06:00:00,404896,80,0,74.0,59.3,6,9
291904,2022-04-09 06:00:00,404897,80,100,141.0,71.1,6,9
291905,2022-04-09 06:00:00,404898,80,100,146.0,70.4,6,9
291906,2022-04-09 06:00:00,404899,80,100,138.0,70.5,6,9
291908,2022-04-09 06:00:00,404906,80,0,191.0,66.0,6,9
291910,2022-04-09 06:00:00,404908,80,0,149.0,66.4,6,9
291912,2022-04-09 06:00:00,404910,80,0,195.0,67.1,6,9
291914,2022-04-09 06:00:00,404912,80,80,150.0,68.6,6,9
291916,2022-04-09 06:00:00,404914,80,0,203.0,65.6,6,9
291923,2022-04-09 06:00:00,404921,80,100,33.0,70.8,6,9
291925,2022-04-09 06:00:00,404923,80,0,176.0,61.5,6,9
293402,2022-04-09 06:00:00,420340,80,100,117.0,71.4,6,9
294465,2022-04-09 06:05:00,401546,80,80,138.0,69.6,6,9
295257,2022-04-09 06:05:00,402814,80,0,127.0,69.1,6,9
295258,2022-04-09 06:05:00,402815,80,0,127.0,69.1,6,9
295259,2022-04-09 06:05:00,402816,80,0,127.0,69.1,6,9
295260,2022-04-09 06:05:00,402817,80,20,185.0,66.5,6,9
295816,2022-04-09 06:05:00,404400,80,0,137.0,66.7,6,9
295915,2022-04-09 06:05:00,404885,80,100,140.0,70.9,6,9
295916,2022-04-09 06:05:00,404886,80,0,91.0,67.5,6,9
295919,2022-04-09 06:05:00,404889,80,0,127.0,69.1,6,9
295921,2022-04-09 06:05:00,404891,80,100,141.0,71.0,6,9
295922,2022-04-09 06:05:00,404892,80,100,149.0,70.5,6,9
295924,2022-04-09 06:05:00,404894,80,100,210.0,66.4,6,9
295926,2022-04-09 06:05:00,404896,80,0,110.0,63.4,6,9
295927,2022-04-09 06:05:00,404897,80,100,144.0,70.5,6,9
295928,2022-04-09 06:05:00,404898,80,100,153.0,70.1,6,9
295929,2022-04-09 06:05:00,404899,80,100,148.0,70.6,6,9
295931,2022-04-09 06:05:00,404906,80,0,195.0,66.1,6,9
295933,2022-04-09 06:05:00,404908,80,0,158.0,66.2,6,9
295935,2022-04-09 06:05:00,404910,80,0,195.0,66.2,6,9
295937,2022-04-09 06:05:00,404912,80,80,151.0,68.3,6,9
295939,2022-04-09 06:05:00,404914,80,0,205.0,65.0,6,9
295946,2022-04-09 06:05:00,404921,80,100,32.0,71.3,6,9
295948,2022-04-09 06:05:00,404923,80,0,191.0,61.4,6,9
297425,2022-04-09 06:05:00,420340,80,100,160.0,71.0,6,9
298488,2022-04-09 06:10:00,401546,80,80,157.0,70.1,6,9
299280,2022-04-09 06:10:00,402814,80,0,138.0,69.2,6,9
299281,2022-04-09 06:10:00,402815,80,0,138.0,69.2,6,9
299282,2022-04-09 06:10:00,402816,80,0,138.0,69.2,6,9
299283,2022-04-09 06:10:00,402817,80,20,184.0,66.4,6,9
299839,2022-04-09 06:10:00,404400,80,0,182.0,66.8,6,9
299938,2022-04-09 06:10:00,404885,80,100,154.0,70.3,6,9
299939,2022-04-09 06:10:00,404886,80,0,84.0,67.7,6,9
299942,2022-04-09 06:10:00,404889,80,0,138.0,69.2,6,9
