,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
288139,2022-01-07 06:00:00,401546,80,80,175.0,66.1,6,7
288931,2022-01-07 06:00:00,402814,80,0,188.0,68.4,6,7
288932,2022-01-07 06:00:00,402815,80,20,161.0,68.1,6,7
288933,2022-01-07 06:00:00,402816,80,0,188.0,68.4,6,7
288934,2022-01-07 06:00:00,402817,80,0,192.0,67.1,6,7
289490,2022-01-07 06:00:00,404400,80,100,172.0,69.4,6,7
289589,2022-01-07 06:00:00,404885,80,100,134.0,70.9,6,7
289590,2022-01-07 06:00:00,404886,80,100,153.0,70.1,6,7
289593,2022-01-07 06:00:00,404889,80,0,855.0,57.8,6,7
289595,2022-01-07 06:00:00,404891,80,100,133.0,71.0,6,7
289596,2022-01-07 06:00:00,404892,80,100,162.0,70.0,6,7
289598,2022-01-07 06:00:00,404894,80,100,264.0,68.7,6,7
289600,2022-01-07 06:00:00,404896,80,100,140.0,67.6,6,7
289601,2022-01-07 06:00:00,404897,80,100,155.0,70.2,6,7
289602,2022-01-07 06:00:00,404898,80,100,161.0,68.9,6,7
289603,2022-01-07 06:00:00,404899,80,100,154.0,69.3,6,7
289605,2022-01-07 06:00:00,404906,80,0,179.0,66.0,6,7
289607,2022-01-07 06:00:00,404908,80,20,294.0,58.7,6,7
289609,2022-01-07 06:00:00,404910,80,20,216.0,66.1,6,7
289611,2022-01-07 06:00:00,404912,80,100,155.0,65.9,6,7
289613,2022-01-07 06:00:00,404914,80,0,195.0,64.5,6,7
289620,2022-01-07 06:00:00,404921,80,80,86.0,67.7,6,7
289622,2022-01-07 06:00:00,404923,80,0,174.0,61.4,6,7
291101,2022-01-07 06:00:00,420340,80,100,138.0,71.2,6,7
292130,2022-01-07 06:05:00,401546,80,80,178.0,67.1,6,7
292922,2022-01-07 06:05:00,402814,80,0,196.0,67.8,6,7
292923,2022-01-07 06:05:00,402815,80,20,170.0,67.5,6,7
292924,2022-01-07 06:05:00,402816,80,0,196.0,67.8,6,7
292925,2022-01-07 06:05:00,402817,80,0,207.0,66.7,6,7
293481,2022-01-07 06:05:00,404400,80,100,159.0,69.0,6,7
293580,2022-01-07 06:05:00,404885,80,100,139.0,71.1,6,7
293581,2022-01-07 06:05:00,404886,80,100,184.0,69.1,6,7
293584,2022-01-07 06:05:00,404889,80,0,1008.0,66.2,6,7
293586,2022-01-07 06:05:00,404891,80,100,140.0,70.8,6,7
293587,2022-01-07 06:05:00,404892,80,100,159.0,70.0,6,7
293589,2022-01-07 06:05:00,404894,80,100,228.0,72.2,6,7
293591,2022-01-07 06:05:00,404896,80,100,180.0,70.0,6,7
293592,2022-01-07 06:05:00,404897,80,100,163.0,70.4,6,7
293593,2022-01-07 06:05:00,404898,80,100,166.0,68.9,6,7
293594,2022-01-07 06:05:00,404899,80,100,162.0,69.8,6,7
293596,2022-01-07 06:05:00,404906,80,0,185.0,65.6,6,7
293598,2022-01-07 06:05:00,404908,80,20,332.0,67.9,6,7
293600,2022-01-07 06:05:00,404910,80,20,226.0,65.5,6,7
293602,2022-01-07 06:05:00,404912,80,100,158.0,66.4,6,7
293604,2022-01-07 06:05:00,404914,80,0,205.0,65.9,6,7
293611,2022-01-07 06:05:00,404921,80,80,102.0,66.2,6,7
293613,2022-01-07 06:05:00,404923,80,0,177.0,61.2,6,7
295092,2022-01-07 06:05:00,420340,80,100,161.0,71.2,6,7
296121,2022-01-07 06:10:00,401546,80,80,209.0,69.0,6,7
296913,2022-01-07 06:10:00,402814,80,0,215.0,67.5,6,7
296914,2022-01-07 06:10:00,402815,80,20,189.0,67.5,6,7
296915,2022-01-07 06:10:00,402816,80,0,215.0,67.5,6,7
296916,2022-01-07 06:10:00,402817,80,0,250.0,66.3,6,7
297472,2022-01-07 06:10:00,404400,80,100,185.0,68.8,6,7
297571,2022-01-07 06:10:00,404885,80,100,184.0,71.0,6,7
297572,2022-01-07 06:10:00,404886,80,100,198.0,69.1,6,7
297575,2022-01-07 06:10:00,404889,80,0,815.0,60.3,6,7
297577,2022-01-07 06:10:00,404891,80,100,181.0,71.0,6,7
297578,2022-01-07 06:10:00,404892,80,100,207.0,70.2,6,7
297580,2022-01-07 06:10:00,404894,80,100,230.0,70.3,6,7
297582,2022-01-07 06:10:00,404896,80,100,196.0,70.7,6,7
297583,2022-01-07 06:10:00,404897,80,100,184.0,70.9,6,7
297584,2022-01-07 06:10:00,404898,80,100,191.0,69.2,6,7
297585,2022-01-07 06:10:00,404899,80,100,194.0,69.5,6,7
297587,2022-01-07 06:10:00,404906,80,0,242.0,65.8,6,7
297589,2022-01-07 06:10:00,404908,80,20,327.0,62.1,6,7
297591,2022-01-07 06:10:00,404910,80,20,258.0,65.8,6,7
297593,2022-01-07 06:10:00,404912,80,100,186.0,67.9,6,7
297595,2022-01-07 06:10:00,404914,80,0,223.0,66.8,6,7
297602,2022-01-07 06:10:00,404921,80,80,109.0,67.0,6,7
297604,2022-01-07 06:10:00,404923,80,0,236.0,61.5,6,7
299083,2022-01-07 06:10:00,420340,80,100,200.0,69.6,6,7
300112,2022-01-07 06:15:00,401546,80,80,240.0,66.5,6,7
300904,2022-01-07 06:15:00,402814,80,0,231.0,67.3,6,7
300905,2022-01-07 06:15:00,402815,80,20,205.0,67.2,6,7
300906,2022-01-07 06:15:00,402816,80,0,231.0,67.3,6,7
300907,2022-01-07 06:15:00,402817,80,0,242.0,66.0,6,7
301463,2022-01-07 06:15:00,404400,80,100,232.0,68.0,6,7
301562,2022-01-07 06:15:00,404885,80,100,194.0,71.2,6,7
301563,2022-01-07 06:15:00,404886,80,100,251.0,69.5,6,7
301566,2022-01-07 06:15:00,404889,80,0,855.0,62.0,6,7
301568,2022-01-07 06:15:00,404891,80,100,198.0,71.1,6,7
301569,2022-01-07 06:15:00,404892,80,100,224.0,69.3,6,7
301571,2022-01-07 06:15:00,404894,80,100,317.0,66.4,6,7
301573,2022-01-07 06:15:00,404896,80,100,235.0,65.0,6,7
301574,2022-01-07 06:15:00,404897,80,100,228.0,69.4,6,7
301575,2022-01-07 06:15:00,404898,80,100,234.0,68.0,6,7
301576,2022-01-07 06:15:00,404899,80,100,216.0,68.2,6,7
301578,2022-01-07 06:15:00,404906,80,0,249.0,66.0,6,7
301580,2022-01-07 06:15:00,404908,80,20,365.0,63.7,6,7
301582,2022-01-07 06:15:00,404910,80,20,272.0,64.8,6,7
301584,2022-01-07 06:15:00,404912,80,100,219.0,65.8,6,7
301586,2022-01-07 06:15:00,404914,80,0,282.0,65.7,6,7
301593,2022-01-07 06:15:00,404921,80,80,130.0,66.3,6,7
301595,2022-01-07 06:15:00,404923,80,0,230.0,61.7,6,7
303074,2022-01-07 06:15:00,420340,80,100,213.0,69.9,6,7
304103,2022-01-07 06:20:00,401546,80,80,241.0,67.5,6,7
304895,2022-01-07 06:20:00,402814,80,0,244.0,67.2,6,7
304896,2022-01-07 06:20:00,402815,80,20,217.0,67.2,6,7
304897,2022-01-07 06:20:00,402816,80,0,244.0,67.2,6,7
304898,2022-01-07 06:20:00,402817,80,0,230.0,66.5,6,7
305454,2022-01-07 06:20:00,404400,80,100,231.0,69.3,6,7
305553,2022-01-07 06:20:00,404885,80,100,179.0,70.9,6,7
305554,2022-01-07 06:20:00,404886,80,100,198.0,69.7,6,7
305557,2022-01-07 06:20:00,404889,80,0,992.0,58.0,6,7
305559,2022-01-07 06:20:00,404891,80,100,152.0,70.8,6,7
305560,2022-01-07 06:20:00,404892,80,100,211.0,70.0,6,7
305562,2022-01-07 06:20:00,404894,80,100,253.0,68.4,6,7
305564,2022-01-07 06:20:00,404896,80,100,191.0,66.5,6,7
305565,2022-01-07 06:20:00,404897,80,100,224.0,69.2,6,7
305566,2022-01-07 06:20:00,404898,80,100,241.0,68.4,6,7
305567,2022-01-07 06:20:00,404899,80,100,233.0,69.0,6,7
305569,2022-01-07 06:20:00,404906,80,0,228.0,65.9,6,7
305571,2022-01-07 06:20:00,404908,80,20,351.0,59.1,6,7
305573,2022-01-07 06:20:00,404910,80,20,266.0,67.6,6,7
305575,2022-01-07 06:20:00,404912,80,100,226.0,67.0,6,7
305577,2022-01-07 06:20:00,404914,80,0,271.0,65.4,6,7
305584,2022-01-07 06:20:00,404921,80,80,110.0,67.5,6,7
305586,2022-01-07 06:20:00,404923,80,0,238.0,61.8,6,7
307065,2022-01-07 06:20:00,420340,80,100,180.0,70.1,6,7
308094,2022-01-07 06:25:00,401546,80,80,277.0,67.1,6,7
308886,2022-01-07 06:25:00,402814,80,0,258.0,67.1,6,7
308887,2022-01-07 06:25:00,402815,80,20,229.0,67.1,6,7
308888,2022-01-07 06:25:00,402816,80,0,258.0,67.1,6,7
308889,2022-01-07 06:25:00,402817,80,0,266.0,66.5,6,7
309445,2022-01-07 06:25:00,404400,80,100,254.0,67.9,6,7
309544,2022-01-07 06:25:00,404885,80,100,220.0,70.5,6,7
309545,2022-01-07 06:25:00,404886,80,100,261.0,69.3,6,7
309548,2022-01-07 06:25:00,404889,80,0,664.0,64.2,6,7
309550,2022-01-07 06:25:00,404891,80,100,222.0,70.4,6,7
309551,2022-01-07 06:25:00,404892,80,100,255.0,69.1,6,7
309553,2022-01-07 06:25:00,404894,80,100,367.0,66.5,6,7
309555,2022-01-07 06:25:00,404896,80,100,264.0,67.0,6,7
309556,2022-01-07 06:25:00,404897,80,100,247.0,67.9,6,7
309557,2022-01-07 06:25:00,404898,80,100,249.0,68.3,6,7
309558,2022-01-07 06:25:00,404899,80,100,243.0,68.3,6,7
309560,2022-01-07 06:25:00,404906,80,0,280.0,66.2,6,7
309562,2022-01-07 06:25:00,404908,80,20,329.0,65.8,6,7
309564,2022-01-07 06:25:00,404910,80,20,304.0,67.3,6,7
309566,2022-01-07 06:25:00,404912,80,100,250.0,65.0,6,7
309568,2022-01-07 06:25:00,404914,80,0,298.0,64.0,6,7
309575,2022-01-07 06:25:00,404921,80,80,145.0,66.2,6,7
309577,2022-01-07 06:25:00,404923,80,0,265.0,61.7,6,7
311056,2022-01-07 06:25:00,420340,80,100,232.0,70.3,6,7
312085,2022-01-07 06:30:00,401546,80,80,250.0,65.6,6,7
312877,2022-01-07 06:30:00,402814,80,0,268.0,67.1,6,7
312878,2022-01-07 06:30:00,402815,80,20,239.0,67.1,6,7
312879,2022-01-07 06:30:00,402816,80,0,268.0,67.1,6,7
312880,2022-01-07 06:30:00,402817,80,0,271.0,66.6,6,7
313436,2022-01-07 06:30:00,404400,80,100,253.0,67.7,6,7
313535,2022-01-07 06:30:00,404885,80,100,212.0,71.1,6,7
313536,2022-01-07 06:30:00,404886,80,100,254.0,68.2,6,7
313539,2022-01-07 06:30:00,404889,80,0,668.0,72.4,6,7
313541,2022-01-07 06:30:00,404891,80,100,215.0,71.1,6,7
313542,2022-01-07 06:30:00,404892,80,100,241.0,68.4,6,7
313544,2022-01-07 06:30:00,404894,80,100,286.0,67.6,6,7
313546,2022-01-07 06:30:00,404896,80,100,240.0,68.1,6,7
313547,2022-01-07 06:30:00,404897,80,100,243.0,68.6,6,7
313548,2022-01-07 06:30:00,404898,80,100,261.0,67.7,6,7
313549,2022-01-07 06:30:00,404899,80,100,246.0,67.5,6,7
313551,2022-01-07 06:30:00,404906,80,0,261.0,65.4,6,7
313553,2022-01-07 06:30:00,404908,80,20,308.0,72.6,6,7
313555,2022-01-07 06:30:00,404910,80,20,297.0,64.2,6,7
313557,2022-01-07 06:30:00,404912,80,100,242.0,63.1,6,7
313559,2022-01-07 06:30:00,404914,80,0,279.0,64.3,6,7
313566,2022-01-07 06:30:00,404921,80,80,129.0,66.5,6,7
313568,2022-01-07 06:30:00,404923,80,0,256.0,61.1,6,7
315047,2022-01-07 06:30:00,420340,80,100,238.0,70.1,6,7
316076,2022-01-07 06:35:00,401546,80,80,272.0,65.6,6,7
316868,2022-01-07 06:35:00,402814,80,0,283.0,67.2,6,7
316869,2022-01-07 06:35:00,402815,80,20,253.0,67.1,6,7
316870,2022-01-07 06:35:00,402816,80,0,283.0,67.2,6,7
316871,2022-01-07 06:35:00,402817,80,0,272.0,66.3,6,7
317427,2022-01-07 06:35:00,404400,80,100,254.0,67.8,6,7
317526,2022-01-07 06:35:00,404885,80,100,212.0,71.1,6,7
317527,2022-01-07 06:35:00,404886,80,100,252.0,67.3,6,7
317530,2022-01-07 06:35:00,404889,80,0,601.0,73.8,6,7
317532,2022-01-07 06:35:00,404891,80,100,213.0,71.1,6,7
317533,2022-01-07 06:35:00,404892,80,100,257.0,69.3,6,7
317535,2022-01-07 06:35:00,404894,80,100,296.0,67.8,6,7
317537,2022-01-07 06:35:00,404896,80,100,257.0,70.5,6,7
317538,2022-01-07 06:35:00,404897,80,100,249.0,68.6,6,7
317539,2022-01-07 06:35:00,404898,80,100,259.0,67.5,6,7
317540,2022-01-07 06:35:00,404899,80,100,256.0,67.5,6,7
317542,2022-01-07 06:35:00,404906,80,0,251.0,66.0,6,7
317544,2022-01-07 06:35:00,404908,80,20,287.0,73.1,6,7
317546,2022-01-07 06:35:00,404910,80,20,307.0,64.8,6,7
317548,2022-01-07 06:35:00,404912,80,100,255.0,61.2,6,7
317550,2022-01-07 06:35:00,404914,80,0,289.0,64.2,6,7
317557,2022-01-07 06:35:00,404921,80,80,146.0,66.4,6,7
317559,2022-01-07 06:35:00,404923,80,0,235.0,61.4,6,7
319038,2022-01-07 06:35:00,420340,80,100,224.0,70.5,6,7
320067,2022-01-07 06:40:00,401546,80,80,290.0,65.5,6,7
320859,2022-01-07 06:40:00,402814,80,0,307.0,67.3,6,7
320860,2022-01-07 06:40:00,402815,80,20,290.0,67.3,6,7
320861,2022-01-07 06:40:00,402816,80,0,307.0,67.3,6,7
320862,2022-01-07 06:40:00,402817,80,0,271.0,66.3,6,7
321418,2022-01-07 06:40:00,404400,80,100,265.0,66.9,6,7
321517,2022-01-07 06:40:00,404885,80,100,223.0,70.9,6,7
321518,2022-01-07 06:40:00,404886,80,100,260.0,69.1,6,7
321521,2022-01-07 06:40:00,404889,80,0,599.0,73.8,6,7
321523,2022-01-07 06:40:00,404891,80,100,233.0,70.8,6,7
321524,2022-01-07 06:40:00,404892,80,100,253.0,68.5,6,7
321526,2022-01-07 06:40:00,404894,80,100,347.0,65.3,6,7
321528,2022-01-07 06:40:00,404896,80,100,242.0,70.0,6,7
321529,2022-01-07 06:40:00,404897,80,100,259.0,68.1,6,7
321530,2022-01-07 06:40:00,404898,80,100,274.0,66.8,6,7
321531,2022-01-07 06:40:00,404899,80,100,268.0,67.0,6,7
321533,2022-01-07 06:40:00,404906,80,0,282.0,66.2,6,7
321535,2022-01-07 06:40:00,404908,80,20,316.0,72.3,6,7
321537,2022-01-07 06:40:00,404910,80,20,296.0,63.9,6,7
321539,2022-01-07 06:40:00,404912,80,100,257.0,60.2,6,7
321541,2022-01-07 06:40:00,404914,80,0,324.0,64.7,6,7
321548,2022-01-07 06:40:00,404921,80,80,139.0,66.1,6,7
321550,2022-01-07 06:40:00,404923,80,0,270.0,61.9,6,7
323029,2022-01-07 06:40:00,420340,80,100,241.0,70.0,6,7
324058,2022-01-07 06:45:00,401546,80,80,292.0,66.1,6,7
324850,2022-01-07 06:45:00,402814,80,0,318.0,67.5,6,7
324851,2022-01-07 06:45:00,402815,80,20,293.0,66.6,6,7
324852,2022-01-07 06:45:00,402816,80,0,318.0,67.5,6,7
324853,2022-01-07 06:45:00,402817,80,0,300.0,65.9,6,7
325409,2022-01-07 06:45:00,404400,80,100,268.0,62.8,6,7
325508,2022-01-07 06:45:00,404885,80,100,230.0,71.1,6,7
325509,2022-01-07 06:45:00,404886,80,100,307.0,69.0,6,7
325512,2022-01-07 06:45:00,404889,80,0,768.0,73.9,6,7
325514,2022-01-07 06:45:00,404891,80,100,233.0,70.8,6,7
325515,2022-01-07 06:45:00,404892,80,100,278.0,68.6,6,7
325517,2022-01-07 06:45:00,404894,80,100,338.0,64.8,6,7
325519,2022-01-07 06:45:00,404896,80,100,256.0,66.8,6,7
325520,2022-01-07 06:45:00,404897,80,100,277.0,69.3,6,7
325521,2022-01-07 06:45:00,404898,80,100,289.0,67.9,6,7
325522,2022-01-07 06:45:00,404899,80,100,264.0,67.9,6,7
325524,2022-01-07 06:45:00,404906,80,0,288.0,65.8,6,7
325526,2022-01-07 06:45:00,404908,80,20,365.0,73.2,6,7
325528,2022-01-07 06:45:00,404910,80,20,295.0,62.4,6,7
325530,2022-01-07 06:45:00,404912,80,100,275.0,61.6,6,7
325532,2022-01-07 06:45:00,404914,80,0,298.0,64.9,6,7
325539,2022-01-07 06:45:00,404921,80,80,170.0,65.4,6,7
325541,2022-01-07 06:45:00,404923,80,0,264.0,61.7,6,7
327020,2022-01-07 06:45:00,420340,80,100,286.0,69.7,6,7
328049,2022-01-07 06:50:00,401546,80,80,324.0,66.1,6,7
328841,2022-01-07 06:50:00,402814,80,0,320.0,67.4,6,7
328842,2022-01-07 06:50:00,402815,80,20,287.0,66.8,6,7
328843,2022-01-07 06:50:00,402816,80,0,320.0,67.4,6,7
328844,2022-01-07 06:50:00,402817,80,0,281.0,66.7,6,7
329400,2022-01-07 06:50:00,404400,80,100,310.0,64.1,6,7
329499,2022-01-07 06:50:00,404885,80,100,272.0,70.9,6,7
329500,2022-01-07 06:50:00,404886,80,100,287.0,69.4,6,7
329503,2022-01-07 06:50:00,404889,80,0,1037.0,72.3,6,7
329505,2022-01-07 06:50:00,404891,80,100,259.0,70.5,6,7
329506,2022-01-07 06:50:00,404892,80,100,309.0,68.4,6,7
329508,2022-01-07 06:50:00,404894,80,100,409.0,64.8,6,7
329510,2022-01-07 06:50:00,404896,80,100,246.0,63.6,6,7
329511,2022-01-07 06:50:00,404897,80,100,303.0,69.1,6,7
329512,2022-01-07 06:50:00,404898,80,100,310.0,68.1,6,7
329513,2022-01-07 06:50:00,404899,80,100,308.0,67.5,6,7
329515,2022-01-07 06:50:00,404906,80,0,299.0,65.0,6,7
329517,2022-01-07 06:50:00,404908,80,20,421.0,73.1,6,7
329519,2022-01-07 06:50:00,404910,80,20,339.0,63.1,6,7
329521,2022-01-07 06:50:00,404912,80,100,298.0,63.2,6,7
329523,2022-01-07 06:50:00,404914,80,0,341.0,63.1,6,7
