,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
288139,2022-01-21 06:00:00,401546,80,80,191.0,67.5,6,21
288931,2022-01-21 06:00:00,402814,80,0,188.0,68.4,6,21
288932,2022-01-21 06:00:00,402815,80,20,172.0,68.5,6,21
288933,2022-01-21 06:00:00,402816,80,0,188.0,68.4,6,21
288934,2022-01-21 06:00:00,402817,80,20,188.0,66.7,6,21
289490,2022-01-21 06:00:00,404400,80,100,177.0,68.6,6,21
289589,2022-01-21 06:00:00,404885,80,100,148.0,71.5,6,21
289590,2022-01-21 06:00:00,404886,80,100,182.0,68.5,6,21
289593,2022-01-21 06:00:00,404889,80,0,188.0,68.4,6,21
289595,2022-01-21 06:00:00,404891,80,100,146.0,71.5,6,21
289596,2022-01-21 06:00:00,404892,80,100,185.0,56.8,6,21
289598,2022-01-21 06:00:00,404894,80,100,252.0,64.7,6,21
289600,2022-01-21 06:00:00,404896,80,100,180.0,67.9,6,21
289601,2022-01-21 06:00:00,404897,80,100,183.0,68.9,6,21
289602,2022-01-21 06:00:00,404898,80,100,182.0,67.5,6,21
289603,2022-01-21 06:00:00,404899,80,100,175.0,67.9,6,21
289605,2022-01-21 06:00:00,404906,80,0,193.0,66.3,6,21
289607,2022-01-21 06:00:00,404908,80,0,167.0,66.4,6,21
289609,2022-01-21 06:00:00,404910,80,0,237.0,59.8,6,21
289611,2022-01-21 06:00:00,404912,80,100,179.0,68.6,6,21
289613,2022-01-21 06:00:00,404914,80,0,235.0,63.7,6,21
289620,2022-01-21 06:00:00,404921,80,80,98.0,67.3,6,21
289622,2022-01-21 06:00:00,404923,80,0,187.0,61.6,6,21
291101,2022-01-21 06:00:00,420340,80,100,151.0,71.0,6,21
292130,2022-01-21 06:05:00,401546,80,80,219.0,67.7,6,21
292922,2022-01-21 06:05:00,402814,80,0,196.0,67.8,6,21
292923,2022-01-21 06:05:00,402815,80,20,176.0,67.8,6,21
292924,2022-01-21 06:05:00,402816,80,0,196.0,67.8,6,21
292925,2022-01-21 06:05:00,402817,80,20,224.0,64.8,6,21
293481,2022-01-21 06:05:00,404400,80,100,204.0,68.5,6,21
293580,2022-01-21 06:05:00,404885,80,100,185.0,71.1,6,21
293581,2022-01-21 06:05:00,404886,80,100,220.0,68.3,6,21
293584,2022-01-21 06:05:00,404889,80,0,196.0,67.8,6,21
293586,2022-01-21 06:05:00,404891,80,100,182.0,71.5,6,21
293587,2022-01-21 06:05:00,404892,80,100,205.0,58.7,6,21
293589,2022-01-21 06:05:00,404894,80,100,269.0,65.8,6,21
293591,2022-01-21 06:05:00,404896,80,100,209.0,69.0,6,21
293592,2022-01-21 06:05:00,404897,80,100,195.0,70.1,6,21
293593,2022-01-21 06:05:00,404898,80,100,209.0,68.4,6,21
293594,2022-01-21 06:05:00,404899,80,100,204.0,68.4,6,21
293596,2022-01-21 06:05:00,404906,80,0,220.0,65.7,6,21
293598,2022-01-21 06:05:00,404908,80,0,186.0,66.5,6,21
293600,2022-01-21 06:05:00,404910,80,0,240.0,61.4,6,21
293602,2022-01-21 06:05:00,404912,80,100,199.0,68.1,6,21
293604,2022-01-21 06:05:00,404914,80,0,221.0,63.9,6,21
293611,2022-01-21 06:05:00,404921,80,80,118.0,67.1,6,21
293613,2022-01-21 06:05:00,404923,80,0,219.0,61.1,6,21
295092,2022-01-21 06:05:00,420340,80,100,205.0,70.1,6,21
296121,2022-01-21 06:10:00,401546,80,80,231.0,68.5,6,21
296913,2022-01-21 06:10:00,402814,80,0,215.0,67.5,6,21
296914,2022-01-21 06:10:00,402815,80,20,203.0,68.1,6,21
296915,2022-01-21 06:10:00,402816,80,0,215.0,67.5,6,21
296916,2022-01-21 06:10:00,402817,80,20,206.0,64.7,6,21
297472,2022-01-21 06:10:00,404400,80,100,225.0,69.0,6,21
297571,2022-01-21 06:10:00,404885,80,100,177.0,71.2,6,21
297572,2022-01-21 06:10:00,404886,80,100,202.0,69.3,6,21
297575,2022-01-21 06:10:00,404889,80,0,215.0,67.5,6,21
297577,2022-01-21 06:10:00,404891,80,100,168.0,70.8,6,21
297578,2022-01-21 06:10:00,404892,80,100,248.0,60.2,6,21
297580,2022-01-21 06:10:00,404894,80,100,339.0,69.5,6,21
297582,2022-01-21 06:10:00,404896,80,100,192.0,66.7,6,21
297583,2022-01-21 06:10:00,404897,80,100,226.0,70.1,6,21
297584,2022-01-21 06:10:00,404898,80,100,232.0,69.4,6,21
297585,2022-01-21 06:10:00,404899,80,100,226.0,69.1,6,21
297587,2022-01-21 06:10:00,404906,80,0,209.0,66.0,6,21
297589,2022-01-21 06:10:00,404908,80,0,167.0,66.3,6,21
297591,2022-01-21 06:10:00,404910,80,0,274.0,61.3,6,21
297593,2022-01-21 06:10:00,404912,80,100,220.0,68.4,6,21
297595,2022-01-21 06:10:00,404914,80,0,250.0,64.5,6,21
297602,2022-01-21 06:10:00,404921,80,80,109.0,67.4,6,21
297604,2022-01-21 06:10:00,404923,80,0,211.0,61.4,6,21
299083,2022-01-21 06:10:00,420340,80,100,185.0,70.6,6,21
300112,2022-01-21 06:15:00,401546,80,80,248.0,70.7,6,21
300904,2022-01-21 06:15:00,402814,80,0,231.0,67.3,6,21
300905,2022-01-21 06:15:00,402815,80,20,214.0,67.9,6,21
